SamplingHz:  1000,Column1,_1,_2,_3
Number Samples:  3800,,,,
Colors: ,Magenta,Cyan,Yellow,K (Black)
315,0.1448,0.1615,0.149,0.0998
316,0.0869,0.1615,0.149,0.1577
317,0.0869,0.2194,0.149,0.1577
318,0.1448,0.1615,0.149,0.1577
319,0.1448,0.1036,0.149,0.1577
320,0.1448,0.1615,0.0911,0.0998
321,0.1448,0.1036,0.0911,0.1577
322,0.1448,0.1615,0.149,0.0998
323,0.1448,0.1615,0.149,0.0998
324,0.1448,0.1036,0.149,0.1577
325,0.1448,0.1036,0.149,0.0998
326,0.1448,0.2194,0.0911,0.1577
327,0.2026,0.1615,0.2069,0.1577
328,0.1448,0.1615,0.149,0.1577
329,0.1448,0.1036,0.149,0.0998
330,0.1448,0.1615,0.149,0.1577
331,0.0869,0.1615,0.0911,0.1577
332,0.1448,0.1036,0.149,0.1577
333,0.2026,0.1615,0.149,0.1577
334,0.1448,0.1615,0.149,0.1577
335,0.1448,0.1615,0.149,0.0998
336,0.1448,0.1036,0.2069,0.0998
337,0.1448,0.1615,0.0911,0.0998
338,0.0869,0.1615,0.149,0.1577
339,0.1448,0.1615,0.0911,0.1577
340,0.2026,0.1036,0.149,0.1577
341,0.1448,0.1036,0.0911,0.1577
342,0.1448,0.1615,0.149,0.1577
343,0.1448,0.1036,0.0911,0.1577
344,0.2026,0.1615,0.149,0.1577
345,0.0869,0.1615,0.149,0.1577
346,0.1448,0.1036,0.149,0.1577
347,0.1448,0.1036,0.149,0.1577
348,0.0869,0.1615,0.0911,0.0998
349,0.1448,0.1036,0.0911,0.1577
350,0.1448,0.1615,0.149,0.0998
351,0.1448,0.1615,0.149,0.0998
352,0.1448,0.1036,0.149,0.1577
353,0.2026,0.1036,0.0911,0.0998
354,0.2026,0.1036,0.149,0.0998
355,0.1448,0.1615,0.149,0.1577
356,0.1448,0.1036,0.149,0.1577
357,0.1448,0.1615,0.0911,0.1577
358,0.1448,0.1615,0.0911,0.1577
359,0.0869,0.1036,0.149,0.1577
360,0.1448,0.1036,0.149,0.2156
361,0.1448,0.1615,0.149,0.0998
362,0.1448,0.1615,0.149,0.1577
363,0.2026,0.2194,0.149,0.1577
364,0.1448,0.1615,0.0911,0.0998
365,0.1448,0.1615,0.149,0.0998
366,0.1448,0.1036,0.149,0.1577
367,0.1448,0.1036,0.2069,0.0998
368,0.0869,0.1615,0.0911,0.1577
369,0.0869,0.1615,0.149,0.1577
370,0.1448,0.1036,0.149,0.1577
371,0.1448,0.1036,0.149,0.0998
372,0.1448,0.1036,0.149,0.1577
373,0.1448,0.1615,0.0911,0.0998
374,0.1448,0.1036,0.0911,0.2156
375,0.0869,0.1036,0.149,0.0998
376,0.1448,0.1615,0.0911,0.1577
377,0.0869,0.1615,0.0911,0.1577
378,0.1448,0.1036,0.2069,0.1577
379,0.1448,0.1615,0.149,0.0998
380,0.0869,0.1615,0.149,0.1577
381,0.1448,0.1615,0.0911,0.1577
382,0.0869,0.1615,0.149,0.1577
383,0.0869,0.1036,0.149,0.0998
384,0.1448,0.1036,0.2069,0.0998
385,0.1448,0.1615,0.149,0.1577
386,0.1448,0.1036,0.2069,0.1577
387,0.2026,0.1036,0.0911,0.1577
388,0.2026,0.1615,0.149,0.1577
389,0.1448,0.1036,0.149,0.1577
390,0.1448,0.1615,0.0911,0.1577
391,0.1448,0.1615,0.0911,0.1577
392,0.1448,0.1615,0.0911,0.1577
393,0.0869,0.1036,0.0911,0.0998
